paper_id,publishable,conference,justification
P005.pdf,1,CVPR,Paper demonstrates 19 computer vision concepts and 0 deep learning applications. Content analysis shows 76.0% computer vision focus. Methodology includes 1 experimental components. Similarity score with CVPR papers: 0.70. Strong alignment with computer vision research scope. The paper's technical depth and methodology align well with CVPR's standards.
P011.pdf,1,KDD,Exhibits 0 data mining concepts and 5 experimental results. Data mining comprises 0.0% of content. Includes 1 methodology discussions. Similarity score with KDD papers: 0.78. Strong focus on knowledge discovery and data mining. The paper's technical depth and methodology align well with KDD's standards.
P039.pdf,0,NA,
P038.pdf,1,EMNLP,Contains 0 natural language processing elements and 0 methodological components. NLP content comprises 0.0% of technical content. Includes 5 results-related discussions. Shows 0.72 similarity with EMNLP papers. Well-aligned with computational linguistics scope. The paper's technical depth and methodology align well with EMNLP's standards.
P010.pdf,1,KDD,Exhibits 0 data mining concepts and 8 experimental results. Data mining comprises 0.0% of content. Includes 1 methodology discussions. Similarity score with KDD papers: 0.77. Strong focus on knowledge discovery and data mining. The paper's technical depth and methodology align well with KDD's standards.
P004.pdf,1,NeurIPS,Contains 7 theoretical concepts and 1 deep learning elements. Theoretical content makes up 50.0% of the paper. Includes 0 methodology components. Shows 0.77 similarity with NeurIPS papers. Strong theoretical machine learning focus. The paper's technical depth and methodology align well with NeurIPS's standards.
P012.pdf,1,EMNLP,Contains 1 natural language processing elements and 0 methodological components. NLP content comprises 50.0% of technical content. Includes 1 results-related discussions. Shows 0.67 similarity with EMNLP papers. Well-aligned with computational linguistics scope. The paper's technical depth and methodology align well with EMNLP's standards.
P006.pdf,0,NA,
P007.pdf,1,CVPR,Paper demonstrates 4 computer vision concepts and 1 deep learning applications. Content analysis shows 50.0% computer vision focus. Methodology includes 0 experimental components. Similarity score with CVPR papers: 0.70. Strong alignment with computer vision research scope. The paper's technical depth and methodology align well with CVPR's standards.
P013.pdf,1,EMNLP,Contains 4 natural language processing elements and 1 methodological components. NLP content comprises 36.4% of technical content. Includes 3 results-related discussions. Shows 0.75 similarity with EMNLP papers. Well-aligned with computational linguistics scope. The paper's technical depth and methodology align well with EMNLP's standards.
P017.pdf,1,EMNLP,Contains 6 natural language processing elements and 0 methodological components. NLP content comprises 60.0% of technical content. Includes 3 results-related discussions. Shows 0.72 similarity with EMNLP papers. Well-aligned with computational linguistics scope. The paper's technical depth and methodology align well with EMNLP's standards.
P003.pdf,1,EMNLP,Contains 0 natural language processing elements and 3 methodological components. NLP content comprises 0.0% of technical content. Includes 6 results-related discussions. Shows 0.74 similarity with EMNLP papers. Well-aligned with computational linguistics scope. The paper's technical depth and methodology align well with EMNLP's standards.
P002.pdf,0,NA,
P016.pdf,0,NA,
P028.pdf,1,EMNLP,Contains 1 natural language processing elements and 0 methodological components. NLP content comprises 100.0% of technical content. Includes 0 results-related discussions. Shows 0.59 similarity with EMNLP papers. Well-aligned with computational linguistics scope. The paper's technical depth and methodology align well with EMNLP's standards.
P014.pdf,1,CVPR,Paper demonstrates 0 computer vision concepts and 5 deep learning applications. Content analysis shows 0.0% computer vision focus. Methodology includes 2 experimental components. Similarity score with CVPR papers: 0.74. Strong alignment with computer vision research scope. The paper's technical depth and methodology align well with CVPR's standards.
P015.pdf,1,CVPR,Paper demonstrates 7 computer vision concepts and 0 deep learning applications. Content analysis shows 43.8% computer vision focus. Methodology includes 1 experimental components. Similarity score with CVPR papers: 0.72. Strong alignment with computer vision research scope. The paper's technical depth and methodology align well with CVPR's standards.
P001.pdf,1,KDD,Exhibits 11 data mining concepts and 7 experimental results. Data mining comprises 55.0% of content. Includes 2 methodology discussions. Similarity score with KDD papers: 0.67. Strong focus on knowledge discovery and data mining. The paper's technical depth and methodology align well with KDD's standards.
P029.pdf,1,EMNLP,Contains 3 natural language processing elements and 0 methodological components. NLP content comprises 11.5% of technical content. Includes 19 results-related discussions. Shows 0.67 similarity with EMNLP papers. Well-aligned with computational linguistics scope. The paper's technical depth and methodology align well with EMNLP's standards.
